time,hurs_mean,hurs_stdev,hurs_min,hurs_max
1951-01-01 12:00:00,93.454,1.3842223,91.468,95.176
1951-01-02 12:00:00,88.95067,1.3816268,87.208,91.256
1951-01-03 12:00:00,92.21533,1.3209763,90.236,93.864
1951-01-04 12:00:00,88.602,2.0522428,85.348,91.1
1951-01-05 12:00:00,96.10533,1.2261294,94.2,97.552
1951-01-06 12:00:00,86.64067,0.4755663,85.868,87.304
1951-01-07 12:00:00,79.792,2.5383043,75.852,82.772
1951-01-08 12:00:00,93.00533,1.9511027,89.972,95.236
1951-01-09 12:00:00,90.13267,1.8310493,87.132,92.324
1951-01-10 12:00:00,76.763336,1.8284353,74.572,80.008
1951-01-11 12:00:00,83.704666,3.0103176,79.028,87.284
1951-01-12 12:00:00,84.05666,2.60848,80.076,87.228
1951-01-13 12:00:00,84.332,1.7980803,81.636,86.388
1951-01-14 12:00:00,91.21533,1.6339115,88.9,93.24
1951-01-15 12:00:00,95.091995,0.9163221,93.792,96.144
1951-01-16 12:00:00,92.84133,0.66110927,91.948,93.788
1951-01-17 12:00:00,94.60533,0.8969792,93.224,95.84
1951-01-18 12:00:00,94.78067,1.0527576,93.084,95.944
1951-01-19 12:00:00,93.13267,1.2781967,91.116,94.632
1951-01-20 12:00:00,85.838,2.231191,82.628,88.808
1951-01-21 12:00:00,80.796,1.5938753,78.384,82.856
1951-01-22 12:00:00,95.04467,0.9352149,93.44,95.952
1951-01-23 12:00:00,95.87933,0.34236246,95.388,96.296
1951-01-24 12:00:00,92.902664,0.45129627,92.336,93.612
1951-01-25 12:00:00,91.87933,0.96347374,90.28,93.152
1951-01-26 12:00:00,93.85933,0.3547874,93.416,94.432
1951-01-27 12:00:00,95.43467,0.26519713,94.972,95.744
1951-01-28 12:00:00,94.546,0.55979383,93.58,95.152
1951-01-29 12:00:00,96.51466,0.79437315,95.28,97.708
1951-01-30 12:00:00,94.34534,0.38031498,93.864,94.844
1951-01-31 12:00:00,91.776665,0.3100838,91.416,92.4
1951-02-01 12:00:00,92.141335,0.53103423,91.276,93.048
1951-02-02 12:00:00,93.44133,0.70381725,92.46,94.32
1951-02-03 12:00:00,83.19867,1.5026742,80.872,85.608
1951-02-04 12:00:00,85.53733,1.9926019,82.32,88.32
1951-02-05 12:00:00,84.91333,2.7030876,81.556,89.828
1951-02-06 12:00:00,89.608,2.2627928,86.252,92.888
1951-02-07 12:00:00,84.175995,1.9754419,81.344,86.728
1951-02-08 12:00:00,81.138664,2.2340074,77.66,83.728
1951-02-09 12:00:00,82.018,1.4758078,79.552,83.848
1951-02-10 12:00:00,93.986664,0.5502271,93.088,94.756
1951-02-11 12:00:00,86.65867,1.3418146,84.636,88.472
1951-02-12 12:00:00,94.79733,1.0428011,93.208,96.024
1951-02-13 12:00:00,94.49267,0.90068376,93.032,95.72
1951-02-14 12:00:00,95.944,1.0779891,94.456,97.276
1951-02-15 12:00:00,91.156,1.6047647,88.828,93.208
1951-02-16 12:00:00,82.42133,0.6039539,81.416,83.156
1951-02-17 12:00:00,93.10066,1.6942661,90.248,94.892
1951-02-18 12:00:00,86.36667,2.622425,82.212,89.26
1951-02-19 12:00:00,94.03333,1.6119142,91.428,95.812
1951-02-20 12:00:00,89.51,2.156885,86.096,91.82
1951-02-21 12:00:00,92.028,1.9126973,88.904,94.204
1951-02-22 12:00:00,84.88067,1.8146544,81.952,87.224
1951-02-23 12:00:00,96.04867,0.9728829,94.632,97.212
1951-02-24 12:00:00,93.054,1.4459711,91.044,94.912
1951-02-25 12:00:00,81.42067,0.56061625,80.636,82.232
1951-02-26 12:00:00,89.708,0.57406986,88.952,90.416
1951-02-27 12:00:00,87.706,1.1254207,86.216,89.488
1951-02-28 12:00:00,83.98866,1.7724699,81.644,86.292
1951-03-01 12:00:00,81.034,1.833525,78.584,83.264
1951-03-02 12:00:00,89.59133,2.3465846,85.976,92.284
1951-03-03 12:00:00,85.83733,1.4212686,83.952,87.74
1951-03-04 12:00:00,73.744,0.16537508,73.524,74.06
1951-03-05 12:00:00,83.84533,0.62247485,83.212,84.768
1951-03-06 12:00:00,73.653336,4.9458427,67.572,80.412
1951-03-07 12:00:00,70.71533,0.4134505,70.144,71.212
1951-03-08 12:00:00,95.946,1.3329148,94.048,97.412
1951-03-09 12:00:00,92.816,1.5602512,90.444,94.524
1951-03-10 12:00:00,89.88267,1.9157119,87.12,92.564
1951-03-11 12:00:00,83.222,2.0750275,80.148,86.188
1951-03-12 12:00:00,83.11067,2.9117386,78.78,86.404
1951-03-13 12:00:00,63.194,2.209715,59.544,66.496
1951-03-14 12:00:00,78.68933,2.3228936,75.004,81.228
1951-03-15 12:00:00,88.364,2.555699,84.496,91.172
1951-03-16 12:00:00,76.59,2.996743,72.052,80.212
1951-03-17 12:00:00,96.14267,1.7552041,93.564,98.508
1951-03-18 12:00:00,77.47,2.0250437,74.348,79.776
1951-03-19 12:00:00,93.83466,1.7698652,91.004,96.068
1951-03-20 12:00:00,86.60267,2.2004838,83.436,89.232
1951-03-21 12:00:00,68.23,1.0591263,66.664,69.632
1951-03-22 12:00:00,68.59133,0.24928038,68.176,68.948
1951-03-23 12:00:00,95.541336,2.5118597,91.812,98.516
1951-03-24 12:00:00,92.966,2.191503,89.604,95.448
1951-03-25 12:00:00,86.178,1.5528642,83.736,87.892
1951-03-26 12:00:00,93.318665,1.3172927,91.444,94.98
1951-03-27 12:00:00,88.895996,1.3059511,86.696,90.528
1951-03-28 12:00:00,93.182,1.1885295,91.316,94.856
1951-03-29 12:00:00,80.802,1.1189456,78.824,82.092
1951-03-30 12:00:00,70.85667,1.7919132,68.436,73.752
1951-03-31 12:00:00,83.04733,1.1270815,81.356,84.568
1951-04-01 12:00:00,87.695335,2.5847285,83.764,90.792
1951-04-02 12:00:00,91.86667,1.9181683,88.924,93.984
1951-04-03 12:00:00,90.74934,2.5054896,87.152,94.688
1951-04-04 12:00:00,71.37333,2.6712186,67.604,74.796
1951-04-05 12:00:00,72.066,1.9806983,69.008,74.836
1951-04-06 12:00:00,66.98,1.1865354,65.26,68.624
1951-04-07 12:00:00,81.89533,1.8401216,79.012,84.068
1951-04-08 12:00:00,81.60933,2.3526146,78.236,84.24
1951-04-09 12:00:00,82.182,2.3802404,78.556,84.856
1951-04-10 12:00:00,89.184,2.6802208,85.012,92.388
1951-04-11 12:00:00,85.31267,2.3001604,81.828,88.104
1951-04-12 12:00:00,72.014,2.3373492,68.8,74.828
