time,tasmax_mean,tasmax_stdev,tasmax_min,tasmax_max
1951-01-01 12:00:00,-1.6500001,0.6726812,-2.4,-0.6
1951-01-02 12:00:00,-0.1,0.65574384,-1.0,0.9
1951-01-03 12:00:00,-0.099999994,0.5830952,-0.8,0.8
1951-01-04 12:00:00,-1.2333333,0.7249521,-2.1,-0.1
1951-01-05 12:00:00,2.4833333,0.6121456,1.8,3.4
1951-01-06 12:00:00,3.8833334,0.45613104,3.4,4.6
1951-01-07 12:00:00,3.4333334,0.6968182,2.5,4.5
1951-01-08 12:00:00,2.3666668,0.67986923,1.6,3.4
1951-01-09 12:00:00,1.9499999,0.7274384,1.1,3.1
1951-01-10 12:00:00,2.0833333,0.90446424,1.0,3.4
1951-01-11 12:00:00,4.383333,0.79039365,3.5,5.6
1951-01-12 12:00:00,5.35,0.79529864,4.5,6.6
1951-01-13 12:00:00,1.4666667,0.74311656,0.6,2.6
1951-01-14 12:00:00,1.8,0.78528124,0.9,3.0
1951-01-15 12:00:00,2.15,0.6970175,1.4,3.2
1951-01-16 12:00:00,0.23333333,0.6368325,-0.5,1.2
1951-01-17 12:00:00,0.5833334,0.41399142,0.1,1.2
1951-01-18 12:00:00,1.8333334,0.6798693,1.1,2.9
1951-01-19 12:00:00,1.0833334,0.6465721,0.4,2.1
1951-01-20 12:00:00,1.0166667,0.6986097,0.2,2.1
1951-01-21 12:00:00,-0.8333333,0.8219219,-1.8,0.4
1951-01-22 12:00:00,0.9166667,0.35316035,0.5,1.5
1951-01-23 12:00:00,1.8833333,0.45977044,1.3,2.6
1951-01-24 12:00:00,1.7166667,0.5955856,0.9,2.6
1951-01-25 12:00:00,-1.15,0.59930515,-1.9,-0.2
1951-01-26 12:00:00,-2.5333333,0.19720262,-2.8,-2.2
1951-01-27 12:00:00,-0.6666667,0.34960294,-1.0,-0.1
1951-01-28 12:00:00,-0.41666666,0.45613107,-0.9,0.3
1951-01-29 12:00:00,-1.4833333,0.4633813,-2.0,-0.8
1951-01-30 12:00:00,1.7166667,0.2114763,1.5,2.0
1951-01-31 12:00:00,3.0166667,0.20344263,2.6,3.2
1951-02-01 12:00:00,1.3,0.19148542,1.1,1.6
1951-02-02 12:00:00,-0.75,0.12583056,-0.9,-0.6
1951-02-03 12:00:00,-2.1333332,0.39860862,-2.6,-1.6
1951-02-04 12:00:00,-0.35000002,0.7952987,-1.2,0.9
1951-02-05 12:00:00,3.2666667,0.5312459,2.5,4.1
1951-02-06 12:00:00,1.6833334,0.8591016,0.7,3.0
1951-02-07 12:00:00,3.3,0.82259756,2.3,4.5
1951-02-08 12:00:00,2.45,0.87321246,1.5,3.8
1951-02-09 12:00:00,6.55,0.75221896,5.7,7.7
1951-02-10 12:00:00,5.0333333,0.44969139,4.6,5.8
1951-02-11 12:00:00,4.35,0.4310839,3.7,5.0
1951-02-12 12:00:00,3.25,0.49581578,2.7,4.1
1951-02-13 12:00:00,1.9833333,0.76248866,0.9,3.2
1951-02-14 12:00:00,0.71666664,0.53359365,0.1,1.5
1951-02-15 12:00:00,2.9,0.78528124,2.0,4.1
1951-02-16 12:00:00,2.6166666,0.69860977,1.8,3.7
1951-02-17 12:00:00,2.5666666,0.74311656,1.7,3.7
1951-02-18 12:00:00,3.5833333,0.69141555,2.8,4.7
1951-02-19 12:00:00,0.28333333,0.80501896,-0.6,1.6
1951-02-20 12:00:00,1.7833333,0.9805044,0.7,3.3
1951-02-21 12:00:00,2.3333333,0.9267626,1.3,3.8
1951-02-22 12:00:00,1.5833333,0.9940098,0.5,3.1
1951-02-23 12:00:00,0.31666666,0.86682695,-0.6,1.7
1951-02-24 12:00:00,0.33333334,0.88254684,-0.6,1.7
1951-02-25 12:00:00,3.4333334,0.715697,2.6,4.5
1951-02-26 12:00:00,1.2,0.45092496,0.6,1.8
1951-02-27 12:00:00,-1.3166667,0.66185766,-2.0,-0.3
1951-02-28 12:00:00,-3.0833333,0.674331,-3.9,-2.1
1951-03-01 12:00:00,-2.6166666,0.7425557,-3.5,-1.5
1951-03-02 12:00:00,-3.6833334,0.79039365,-4.6,-2.4
1951-03-03 12:00:00,-4.016667,0.7425556,-4.9,-2.9
1951-03-04 12:00:00,0.46666664,0.644636,-0.3,1.3
1951-03-05 12:00:00,-1.65,0.46457866,-2.2,-1.0
1951-03-06 12:00:00,3.1333332,0.2748737,2.8,3.5
1951-03-07 12:00:00,5.95,0.6317965,5.2,6.8
1951-03-08 12:00:00,-2.9,0.88506126,-3.9,-1.5
1951-03-09 12:00:00,-4.633333,0.89193916,-5.7,-3.3
1951-03-10 12:00:00,-3.4666667,0.80138767,-4.5,-2.2
1951-03-11 12:00:00,3.05,0.8845903,2.0,4.3
1951-03-12 12:00:00,3.95,1.099621,2.7,5.6
1951-03-13 12:00:00,8.25,1.021029,7.1,9.8
1951-03-14 12:00:00,7.3166666,1.0730278,6.0,9.0
1951-03-15 12:00:00,2.9166667,0.95989007,1.8,4.4
1951-03-16 12:00:00,6.0666666,1.1614169,4.7,7.8
1951-03-17 12:00:00,9.233334,0.85764533,8.3,10.6
1951-03-18 12:00:00,9.400001,0.7724421,8.5,10.6
1951-03-19 12:00:00,5.3,0.76811457,4.4,6.5
1951-03-20 12:00:00,0.016666664,0.90077126,-1.0,1.4
1951-03-21 12:00:00,0.65,0.9517527,-0.4,2.1
1951-03-22 12:00:00,3.3166666,0.90446424,2.2,4.6
1951-03-23 12:00:00,4.9166665,0.95989007,3.8,6.4
1951-03-24 12:00:00,4.9166665,0.88207453,3.9,6.2
1951-03-25 12:00:00,-0.13333334,0.718022,-1.0,0.9
1951-03-26 12:00:00,-1.7333333,0.81171966,-2.6,-0.5
1951-03-27 12:00:00,3.2666667,0.9339283,2.2,4.7
1951-03-28 12:00:00,-0.68333334,0.9889669,-1.8,0.9
1951-03-29 12:00:00,1.1833333,0.95116884,0.1,2.6
1951-03-30 12:00:00,4.233333,0.9231589,3.1,5.6
1951-03-31 12:00:00,5.85,0.8636163,4.8,7.2
1951-04-01 12:00:00,3.55,0.93941474,2.5,5.0
1951-04-02 12:00:00,5.4833336,0.91727257,4.4,6.9
1951-04-03 12:00:00,3.8833334,0.93704623,2.8,5.3
1951-04-04 12:00:00,7.8166666,1.0573814,6.6,9.4
1951-04-05 12:00:00,7.6,0.9643652,6.5,9.0
1951-04-06 12:00:00,9.233334,0.89193934,8.2,10.6
1951-04-07 12:00:00,12.3,0.8563488,11.3,13.6
1951-04-08 12:00:00,5.5333333,0.35901088,5.1,6.2
1951-04-09 12:00:00,6.416667,0.95989,5.3,7.9
1951-04-10 12:00:00,3.55,0.74105775,2.7,4.7
1951-04-11 12:00:00,3.2,0.8850612,2.2,4.5
1951-04-12 12:00:00,5.5,0.920145,4.4,6.8
1951-04-13 12:00:00,7.7666664,0.9551032,6.7,9.2
1951-04-14 12:00:00,3.0,0.74386376,2.1,4.1
1951-04-15 12:00:00,4.4833336,0.8394774,3.5,5.8
1951-04-16 12:00:00,11.833333,0.79930514,10.8,13.0
1951-04-17 12:00:00,7.3166666,0.8473816,6.3,8.6
1951-04-18 12:00:00,10.483334,0.769018,9.6,11.7
1951-04-19 12:00:00,11.783333,0.5814256,11.0,12.6
