time,tasmin_mean,tasmin_stdev,tasmin_min,tasmin_max
1951-01-01 12:00:00,-8.8,0.36514828,-9.2,-8.2
1951-01-02 12:00:00,-4.85,0.6238323,-5.9,-4.0
1951-01-03 12:00:00,-2.9333334,0.5527708,-3.6,-2.1
1951-01-04 12:00:00,-2.7833333,0.55201656,-3.4,-1.9
1951-01-05 12:00:00,-2.0333333,0.6315765,-2.8,-1.1
1951-01-06 12:00:00,1.25,0.27537853,0.9,1.7
1951-01-07 12:00:00,1.35,0.5823802,0.7,2.3
1951-01-08 12:00:00,0.53333336,0.6368325,-0.2,1.5
1951-01-09 12:00:00,-0.9166667,0.6121456,-1.6,0.0
1951-01-10 12:00:00,-2.0666666,0.2981424,-2.5,-1.6
1951-01-11 12:00:00,-1.1833334,0.56100106,-1.9,-0.3
1951-01-12 12:00:00,0.71666664,0.57566386,0.1,1.6
1951-01-13 12:00:00,-0.85,0.49244288,-1.4,-0.1
1951-01-14 12:00:00,-0.15,0.45,-0.7,0.5
1951-01-15 12:00:00,-0.98333335,0.5428833,-1.6,-0.2
1951-01-16 12:00:00,-1.1333333,0.48876262,-1.7,-0.4
1951-01-17 12:00:00,-1.8,0.5597619,-2.4,-0.9
1951-01-18 12:00:00,-1.3659398e-08,0.5597619,-0.6,0.9
1951-01-19 12:00:00,-0.43333334,0.48876262,-1.0,0.3
1951-01-20 12:00:00,-1.3833333,0.6986097,-2.2,-0.3
1951-01-21 12:00:00,-8.65,0.9742518,-9.7,-7.1
1951-01-22 12:00:00,-9.516666,0.62025964,-10.2,-8.6
1951-01-23 12:00:00,0.016666664,0.42979324,-0.5,0.7
1951-01-24 12:00:00,-2.1166668,0.3337497,-2.6,-1.7
1951-01-25 12:00:00,-5.4,0.6110101,-6.1,-4.5
1951-01-26 12:00:00,-5.5666666,0.5587685,-6.2,-4.7
1951-01-27 12:00:00,-3.45,0.5708181,-4.1,-2.6
1951-01-28 12:00:00,-2.6666667,0.54670733,-3.3,-1.8
1951-01-29 12:00:00,-3.1166666,0.44127345,-3.7,-2.5
1951-01-30 12:00:00,-3.3,0.27080122,-3.6,-2.9
1951-01-31 12:00:00,-5.25,0.2986078,-5.6,-4.8
1951-02-01 12:00:00,-2.4333334,0.11055415,-2.6,-2.3
1951-02-02 12:00:00,-4.1,0.44721353,-4.6,-3.4
1951-02-03 12:00:00,-7.5,0.40414518,-8.0,-6.9
1951-02-04 12:00:00,-8.016666,0.4258977,-8.5,-7.3
1951-02-05 12:00:00,-2.4666667,0.7909207,-3.6,-1.2
1951-02-06 12:00:00,-0.38333333,0.35316035,-0.8,0.1
1951-02-07 12:00:00,-1.9833333,0.52094996,-2.7,-1.2
1951-02-08 12:00:00,-2.05,0.64743084,-2.9,-1.0
1951-02-09 12:00:00,1.3833333,0.64139605,0.5,2.4
1951-02-10 12:00:00,0.083333336,0.31313825,-0.3,0.6
1951-02-11 12:00:00,-1.5666666,0.46427962,-2.2,-0.9
1951-02-12 12:00:00,0.11666667,0.29107082,-0.2,0.5
1951-02-13 12:00:00,-2.1666667,0.29814237,-2.5,-1.7
1951-02-14 12:00:00,-2.75,0.6048416,-3.4,-1.8
