time,tas_mean,tas_stdev,tas_min,tas_max
1951-01-01 12:00:00,-0.72,0.19899748,-1.0,-0.3
1951-01-02 12:00:00,0.27,0.17349352,0.1,0.7
1951-01-03 12:00:00,0.05,0.15652476,-0.1,0.4
1951-01-04 12:00:00,1.61,0.13747728,1.4,1.9
1951-01-05 12:00:00,4.37,0.19519229,4.2,4.8
1951-01-06 12:00:00,4.44,0.24166094,4.2,5.0
1951-01-07 12:00:00,5.34,0.16852298,5.1,5.7
1951-01-08 12:00:00,4.87,0.16155495,4.7,5.2
1951-01-09 12:00:00,3.77,0.045825712,3.7,3.8
1951-01-10 12:00:00,2.23,0.18999998,2.0,2.6
1951-01-11 12:00:00,6.6,0.118321605,6.5,6.9
1951-01-12 12:00:00,4.6,0.1264911,4.5,4.9
1951-01-13 12:00:00,3.67,0.10049882,3.6,3.9
1951-01-14 12:00:00,3.22,0.1720465,3.0,3.6
1951-01-15 12:00:00,3.5,0.118321545,3.4,3.8
1951-01-16 12:00:00,3.21,0.094339855,3.1,3.4
1951-01-17 12:00:00,5.12,0.11661904,5.0,5.4
1951-01-18 12:00:00,4.71,0.030000115,4.7,4.8
1951-01-19 12:00:00,4.62,0.03999996,4.6,4.7
1951-01-20 12:00:00,2.87,0.1486607,2.7,3.2
1951-01-21 12:00:00,-1.18,0.17776388,-1.4,-0.8
1951-01-22 12:00:00,2.56,0.22449939,2.3,3.1
1951-01-23 12:00:00,2.76,0.22891048,2.5,3.2
1951-01-24 12:00:00,1.72,0.087177955,1.6,1.9
1951-01-25 12:00:00,-2.34,0.101980396,-2.5,-2.2
1951-01-26 12:00:00,-3.27,0.12688582,-3.4,-3.0
1951-01-27 12:00:00,-0.52000004,0.107703306,-0.6,-0.3
1951-01-28 12:00:00,-0.66,0.10198039,-0.8,-0.4
1951-01-29 12:00:00,-0.62,0.07483314,-0.7,-0.5
1951-01-30 12:00:00,-1.07,0.09000002,-1.2,-0.9
1951-01-31 12:00:00,-2.78,0.107703306,-3.0,-2.6
1951-02-01 12:00:00,-1.3399999,0.048989806,-1.4,-1.3
1951-02-02 12:00:00,-0.56,0.091651514,-0.7,-0.4
1951-02-03 12:00:00,-4.78,0.24000007,-5.0,-4.2
1951-02-04 12:00:00,0.31,0.2624881,0.0,0.9
1951-02-05 12:00:00,1.5,0.1843909,1.3,1.9
1951-02-06 12:00:00,3.3,0.063245565,3.2,3.4
1951-02-07 12:00:00,2.76,0.09165149,2.7,3.0
1951-02-08 12:00:00,4.46,0.25768203,4.2,5.0
1951-02-09 12:00:00,7.72,0.19390719,7.5,8.2
1951-02-10 12:00:00,2.35,0.12845235,2.1,2.5
1951-02-11 12:00:00,2.1499999,0.067082085,2.1,2.3
1951-02-12 12:00:00,2.86,0.23748687,2.6,3.4
1951-02-13 12:00:00,0.53000003,0.11,0.4,0.7
1951-02-14 12:00:00,0.27,0.10049876,0.2,0.5
1951-02-15 12:00:00,1.31,0.122065544,1.2,1.6
1951-02-16 12:00:00,-0.26000002,0.101980396,-0.4,0.0
1951-02-17 12:00:00,4.57,0.18466185,4.4,5.0
1951-02-18 12:00:00,3.34,0.21071307,3.1,3.8
1951-02-19 12:00:00,3.49,0.06999993,3.4,3.6
1951-02-20 12:00:00,4.87,0.1676306,4.7,5.3
1951-02-21 12:00:00,3.94,0.15620504,3.8,4.3
1951-02-22 12:00:00,3.6,0.10954449,3.4,3.8
1951-02-23 12:00:00,2.89,0.1374773,2.7,3.2
1951-02-24 12:00:00,2.1599998,0.21071307,1.9,2.6
1951-02-25 12:00:00,2.68,0.2821347,2.3,3.3
1951-02-26 12:00:00,1.1800001,0.23151675,0.9,1.7
1951-02-27 12:00:00,0.09,0.13,0.0,0.4
1951-02-28 12:00:00,-0.26000002,0.12806249,-0.4,0.0
1951-03-01 12:00:00,0.45000002,0.16278821,0.3,0.8
1951-03-02 12:00:00,-0.85,0.12041594,-1.0,-0.6
1951-03-03 12:00:00,-0.32,0.1077033,-0.5,-0.1
1951-03-04 12:00:00,-1.26,0.12806247,-1.4,-1.0
1951-03-05 12:00:00,-1.4,0.04472137,-1.5,-1.3
1951-03-06 12:00:00,-0.07,0.06403124,-0.1,0.1
1951-03-07 12:00:00,-0.01,0.10440306,-0.1,0.2
1951-03-08 12:00:00,-0.27,0.09,-0.4,-0.1
1951-03-09 12:00:00,-0.97,0.110000014,-1.1,-0.7
1951-03-10 12:00:00,-1.37,0.06403123,-1.4,-1.2
1951-03-11 12:00:00,1.92,0.16,1.8,2.3
1951-03-12 12:00:00,3.82,0.31240997,3.5,4.5
1951-03-13 12:00:00,8.39,0.122065425,8.3,8.7
1951-03-14 12:00:00,7.73,0.045825932,7.7,7.8
1951-03-15 12:00:00,5.62,0.23999996,5.3,6.1
1951-03-16 12:00:00,5.61,0.2773084,5.3,6.2
1951-03-17 12:00:00,9.690001,0.26627064,9.4,10.3
1951-03-18 12:00:00,8.7300005,0.118743345,8.6,9.0
1951-03-19 12:00:00,3.1399999,0.16248076,2.9,3.5
1951-03-20 12:00:00,0.64,0.11999999,0.5,0.9
1951-03-21 12:00:00,0.69,0.18138357,0.5,1.1
1951-03-22 12:00:00,4.29,0.15779738,4.1,4.6
1951-03-23 12:00:00,7.61,0.21189624,7.2,7.9
1951-03-24 12:00:00,3.17,0.16763057,3.0,3.5
1951-03-25 12:00:00,1.32,0.17776386,1.2,1.8
1951-03-26 12:00:00,0.15,0.15,0.0,0.5
1951-03-27 12:00:00,1.99,0.16999999,1.7,2.3
1951-03-28 12:00:00,0.66,0.0916515,0.6,0.9
1951-03-29 12:00:00,0.73,0.16763054,0.5,1.1
1951-03-30 12:00:00,3.01,0.18138358,2.8,3.4
1951-03-31 12:00:00,4.18,0.10770334,4.0,4.4
1951-04-01 12:00:00,6.44,0.16248079,6.2,6.8
1951-04-02 12:00:00,6.44,0.07999992,6.3,6.6
1951-04-03 12:00:00,5.16,0.14966631,5.0,5.5
1951-04-04 12:00:00,7.51,0.21656404,7.2,8.0
1951-04-05 12:00:00,5.86,0.21071313,5.6,6.3
1951-04-06 12:00:00,7.4300003,0.11874331,7.3,7.7
1951-04-07 12:00:00,9.65,0.06708187,9.5,9.7
1951-04-08 12:00:00,5.28,0.16000003,5.0,5.6
