date,precipitation_mean,precipitation_stdev,precipitation_min,precipitation_max,humidity_mean,humidity_stdev,humidity_min,humidity_max,radiation_global_mean,radiation_global_stdev,radiation_global_min,radiation_global_max,temperature_mean,temperature_min,temperature_max,discharge_spec_obs
1951-01-01,3.74,0.82,1.7,5.1,93.45,1.38,91.47,95.18,16.59,0.64,15.68,17.62,-2.87,-8.8,-1.65,0
1951-01-02,3.62,0.73,2.3,5.0,88.95,1.38,87.21,91.26,17.23,0.29,16.79,17.61,-1.4,-4.85,-0.1,0
1951-01-03,2.95,1.75,0.5,6.7,92.22,1.32,90.24,93.86,17.61,0.23,17.3,17.93,-2.13,-2.93,-0.1,0
1951-01-04,0.64,0.4,0.1,1.9,88.6,2.05,85.35,91.1,17.98,0.31,17.6,18.45,-1.88,-2.78,-1.23,0
1951-01-05,6.56,1.17,4.5,8.7,96.11,1.23,94.2,97.55,13.75,0.42,13.2,14.28,1.1,-2.03,2.48,0
1951-01-06,1.32,0.51,0.4,3.2,86.64,0.48,85.87,87.3,13.61,0.19,13.38,13.93,2.55,1.25,3.88,0
1951-01-07,0.19,0.16,0.0,0.7,79.79,2.54,75.85,82.77,16.89,0.99,15.53,18.23,2.08,1.35,3.43,0
1951-01-08,3.22,1.65,0.9,7.8,93.01,1.95,89.97,95.24,12.29,0.83,11.2,13.31,1.58,0.53,2.37,0
1951-01-09,5.67,1.48,3.0,8.6,90.13,1.83,87.13,92.32,15.91,0.63,15.34,17.24,-0.05,-0.92,1.95,0
1951-01-10,0.01,0.02,0.0,0.1,76.76,1.83,74.57,80.01,48.67,1.28,46.88,51.04,-0.17,-2.07,2.08,0
1951-01-11,1.46,1.05,0.2,4.1,83.7,3.01,79.03,87.28,18.05,0.14,17.87,18.26,3.55,-1.18,4.38,0
1951-01-12,1.54,2.45,0.0,8.7,84.06,2.61,80.08,87.23,18.77,1.39,16.6,20.35,2.38,0.72,5.35,0
1951-01-13,1.02,0.97,0.0,3.1,84.33,1.8,81.64,86.39,20.21,1.8,17.7,23.0,0.52,-0.85,1.47,0
1951-01-14,7.96,3.42,1.6,16.3,91.22,1.63,88.9,93.24,18.05,1.22,16.41,20.16,1.12,-0.15,1.8,0
1951-01-15,18.18,5.02,6.7,26.7,95.09,0.92,93.79,96.14,15.7,0.77,14.83,17.28,0.13,-0.98,2.15,0
1951-01-16,4.61,2.07,1.5,10.0,92.84,0.66,91.95,93.79,31.37,2.53,26.52,34.6,-0.27,-1.13,0.23,0
1951-01-17,28.69,7.49,10.7,39.8,94.61,0.9,93.22,95.84,14.65,0.53,14.14,15.67,-0.7,-1.8,0.58,0
1951-01-18,38.39,8.78,14.8,51.5,94.78,1.05,93.08,95.94,15.79,0.64,14.82,16.79,0.72,-0.0,1.83,0
1951-01-19,21.52,4.84,12.6,30.0,93.13,1.28,91.12,94.63,18.32,1.19,16.42,19.84,0.03,-0.43,1.08,0
1951-01-20,0.8,0.5,0.4,2.2,85.84,2.23,82.63,88.81,25.94,1.05,24.45,27.35,-0.75,-1.38,1.02,0
1951-01-21,0.01,0.03,0.0,0.1,80.8,1.59,78.38,82.86,65.18,1.05,63.61,66.41,-5.07,-8.65,-0.83,0
1951-01-22,3.39,0.41,2.5,4.1,95.04,0.94,93.44,95.95,14.21,0.68,13.15,15.21,-0.38,-9.52,0.92,0
1951-01-23,0.05,0.07,0.0,0.2,95.88,0.34,95.39,96.3,16.87,0.4,16.38,17.63,0.75,0.02,1.88,0
1951-01-24,0.0,0.0,0.0,0.0,92.9,0.45,92.34,93.61,21.28,1.22,19.89,23.41,-1.05,-2.12,1.72,0
1951-01-25,0.0,0.0,0.0,0.0,91.88,0.96,90.28,93.15,23.21,0.6,22.52,24.34,-4.12,-5.4,-1.15,0
1951-01-26,0.0,0.0,0.0,0.0,93.86,0.35,93.42,94.43,22.16,0.94,21.06,23.75,-3.7,-5.57,-2.53,0
1951-01-27,0.16,0.14,0.0,0.7,95.43,0.27,94.97,95.74,20.86,2.03,18.14,23.53,-1.6,-3.45,-0.67,0
1951-01-28,0.0,0.0,0.0,0.0,94.55,0.56,93.58,95.15,20.63,0.15,20.45,20.89,-1.85,-2.67,-0.42,0
1951-01-29,0.59,0.36,0.0,1.7,96.51,0.79,95.28,97.71,21.64,0.37,21.15,22.14,-2.33,-3.12,-1.48,0
1951-01-30,0.0,0.0,0.0,0.0,94.35,0.38,93.86,94.84,44.38,2.41,40.66,47.11,-1.85,-3.3,1.72,0
1951-01-31,0.0,0.0,0.0,0.0,91.78,0.31,91.42,92.4,38.89,0.88,37.58,39.96,-0.48,-5.25,3.02,0
1951-02-01,0.1,0.11,0.0,0.4,92.14,0.53,91.28,93.05,34.35,0.84,33.16,35.94,-1.02,-2.43,1.3,0
1951-02-02,0.5,0.45,0.0,1.8,93.44,0.7,92.46,94.32,30.46,0.37,29.9,30.87,-3.03,-4.1,-0.75,0
1951-02-03,1.86,0.75,0.1,3.2,83.2,1.5,80.87,85.61,31.4,0.22,31.15,31.7,-5.35,-7.5,-2.13,0
1951-02-04,0.53,0.28,0.0,1.2,85.54,1.99,82.32,88.32,27.54,1.17,26.21,29.21,-2.35,-8.02,-0.35,0
1951-02-05,0.08,0.13,0.0,0.7,84.91,2.7,81.56,89.83,35.98,1.07,34.42,37.93,0.55,-2.47,3.27,0
1951-02-06,0.0,0.0,0.0,0.0,89.61,2.26,86.25,92.89,36.66,0.64,35.77,37.52,0.33,-0.38,1.68,0
1951-02-07,0.0,0.0,0.0,0.0,84.18,1.98,81.34,86.73,68.67,2.51,63.83,72.01,0.18,-1.98,3.3,0
1951-02-08,0.0,0.0,0.0,0.0,81.14,2.23,77.66,83.73,46.89,1.0,45.36,48.47,1.3,-2.05,2.45,0
1951-02-09,0.0,0.0,0.0,0.0,82.02,1.48,79.55,83.85,40.94,1.9,38.22,43.82,3.85,1.38,6.55,0
1951-02-10,0.06,0.06,0.0,0.2,93.99,0.55,93.09,94.76,37.25,2.29,34.65,41.78,1.17,0.08,5.03,0
1951-02-11,0.89,0.44,0.0,2.1,86.66,1.34,84.64,88.47,39.82,0.35,39.4,40.29,1.8,-1.57,4.35,0
1951-02-12,0.16,0.22,0.0,0.8,94.8,1.04,93.21,96.02,29.74,1.27,28.53,32.17,1.1,0.12,3.25,0
1951-02-13,7.76,0.53,6.7,8.8,94.49,0.9,93.03,95.72,35.19,0.66,34.27,36.08,-0.18,-2.17,1.98,0
1951-02-14,3.36,1.09,1.3,5.9,95.94,1.08,94.46,97.28,34.04,0.54,33.52,35.14,-0.23,-2.75,0.72,0
1951-02-15,0.04,0.06,0.0,0.3,91.16,1.6,88.83,93.21,56.7,2.04,53.72,59.77,0.75,-0.2,2.9,0
1951-02-16,0.0,0.0,0.0,0.0,82.42,0.6,81.42,83.16,102.84,2.14,98.58,105.37,-0.6,-3.97,2.62,0
1951-02-17,15.74,4.74,6.2,27.0,93.1,1.69,90.25,94.89,32.86,1.22,31.75,35.07,1.23,-1.4,2.57,0
1951-02-18,8.86,1.12,6.3,10.6,86.37,2.62,82.21,89.26,44.71,2.85,39.76,47.95,-0.6,-2.33,3.58,0
1951-02-19,7.54,1.22,5.3,9.1,94.03,1.61,91.43,95.81,35.87,2.24,32.84,39.32,-0.6,-1.88,0.28,0
1951-02-20,5.42,0.93,3.1,8.5,89.51,2.16,86.1,91.82,38.36,2.49,36.12,43.03,0.8,-1.25,1.78,0
1951-02-21,4.97,1.3,2.3,7.7,92.03,1.91,88.9,94.2,41.74,3.28,37.18,46.73,0.18,-0.65,2.33,0
1951-02-22,8.22,1.51,4.8,12.8,84.88,1.81,81.95,87.22,61.38,3.58,54.99,66.05,-0.47,-1.68,1.58,0
1951-02-23,17.17,3.1,11.0,24.7,96.05,0.97,94.63,97.21,36.65,1.97,34.06,38.92,-1.15,-1.98,0.32,0
1951-02-24,0.69,1.1,0.0,3.9,93.05,1.45,91.04,94.91,43.92,2.29,40.89,47.53,-1.63,-2.7,0.33,0
1951-02-25,0.0,0.0,0.0,0.0,81.42,0.56,80.64,82.23,100.16,3.47,93.13,103.5,-0.77,-4.7,3.43,0
1951-02-26,1.79,0.55,0.7,2.9,89.71,0.57,88.95,90.42,60.92,1.02,59.37,62.66,-1.6,-3.52,1.2,0
1951-02-27,1.4,0.68,0.6,2.9,87.71,1.13,86.22,89.49,59.38,3.86,53.15,65.57,-3.17,-4.93,-1.32,0
1951-02-28,0.5,0.83,0.0,4.0,83.99,1.77,81.64,86.29,66.88,2.68,63.25,71.55,-4.95,-5.9,-3.08,0
1951-03-01,2.39,1.05,0.2,4.2,81.03,1.83,78.58,83.26,71.04,3.42,67.14,77.22,-4.23,-7.37,-2.62,0
1951-03-02,0.07,0.19,0.0,1.2,89.59,2.35,85.98,92.28,50.94,2.18,46.25,52.84,-5.53,-6.68,-3.68,0
1951-03-03,0.0,0.0,0.0,0.0,85.84,1.42,83.95,87.74,102.99,3.04,98.44,107.94,-5.9,-7.17,-4.02,0
1951-03-04,0.0,0.0,0.0,0.0,73.74,0.17,73.52,74.06,155.28,0.98,153.68,156.3,-5.13,-10.95,0.47,0
1951-03-05,0.0,0.0,0.0,0.0,83.85,0.62,83.21,84.77,72.06,4.95,65.66,81.22,-4.58,-6.08,-1.65,0
1951-03-06,0.0,0.0,0.0,0.0,73.65,4.95,67.57,80.41,84.97,1.91,82.08,87.94,-2.2,-9.4,3.13,0
1951-03-07,0.0,0.0,0.0,0.0,70.72,0.41,70.14,71.21,158.24,4.03,152.5,164.22,-1.6,-5.97,5.95,0
1951-03-08,0.65,0.57,0.0,2.2,95.95,1.33,94.05,97.41,49.0,1.77,46.07,50.95,-5.07,-5.9,-2.9,0
1951-03-09,1.8,0.98,0.3,4.5,92.82,1.56,90.44,94.52,47.57,0.78,46.46,48.52,-5.93,-6.83,-4.63,0
1951-03-10,0.02,0.04,0.0,0.2,89.88,1.92,87.12,92.56,49.88,0.77,48.63,50.89,-5.07,-7.58,-3.47,0
