date,pet_hargreaves,discharge_vol_obs,discharge_spec_obs,discharge_vol_sim_lstm,discharge_spec_sim_lstm,discharge_vol_sim_hbv,discharge_spec_sim_hbv,simulation_period
1951-01-01,0.34,,,,,,,nan
1951-01-02,0.37,,,,,,,nan
1951-01-03,0.38,,,,,,,nan
1951-01-04,0.42,,,,,,,nan
1951-01-05,0.49,,,,,,,nan
1951-01-06,0.5,,,,,,,nan
1951-01-07,0.54,,,,,,,nan
1951-01-08,0.54,,,,,,,nan
1951-01-09,0.52,,,,,,,nan
1951-01-10,0.49,,,,,,,nan
1951-01-11,0.62,,,,,,,nan
1951-01-12,0.57,,,,,,,nan
1951-01-13,0.56,,,,,,,nan
1951-01-14,0.56,,,,,,,nan
1951-01-15,0.58,,,,,,,nan
1951-01-16,0.58,,,,,,,nan
1951-01-17,0.64,,,,,,,nan
1951-01-18,0.65,,,,,,,nan
1951-01-19,0.65,,,,,,,nan
1951-01-20,0.61,,,,,,,nan
1951-01-21,0.49,,,,,,,nan
1951-01-22,0.61,,,,,,,nan
1951-01-23,0.63,,,,,,,nan
1951-01-24,0.6,,,,,,,nan
1951-01-25,0.47,,,,,,,nan
1951-01-26,0.45,,,,,,,nan
1951-01-27,0.56,,,,,,,nan
1951-01-28,0.57,,,,,,,nan
1951-01-29,0.58,,,,,,,nan
1951-01-30,0.57,,,,,,,nan
1951-01-31,0.51,,,,,,,nan
1951-02-01,0.69,,,,,,,nan
1951-02-02,0.69,,,,,,,nan
1951-02-03,0.51,,,,,,,nan
1951-02-04,0.75,,,,,,,nan
1951-02-05,0.82,,,,,,,nan
1951-02-06,0.94,,,,,,,nan
1951-02-07,0.93,,,,,,,nan
1951-02-08,1.0,,,,,,,nan
1951-02-09,1.18,,,,,,,nan
1951-02-10,0.97,,,,,,,nan
1951-02-11,0.95,,,,,,,nan
1951-02-12,0.98,,,,,,,nan
1951-02-13,0.89,,,,,,,nan
1951-02-14,0.89,,,,,,,nan
1951-02-15,0.95,,,,,,,nan
1951-02-16,0.88,,,,,,,nan
1951-02-17,1.15,,,,,,,nan
1951-02-18,1.08,,,,,,,nan
1951-02-19,1.14,,,,,,,nan
1951-02-20,1.21,,,,,,,nan
1951-02-21,1.17,,,,,,,nan
1951-02-22,1.16,,,,,,,nan
1951-02-23,1.12,,,,,,,nan
1951-02-24,1.12,,,,,,,nan
1951-02-25,1.12,,,,,,,nan
1951-02-26,1.04,,,,,,,nan
1951-02-27,1.03,,,,,,,nan
1951-02-28,0.99,,,,,,,nan
1951-03-01,1.24,,,,,,,nan
1951-03-02,1.15,,,,,,,nan
1951-03-03,1.21,,,,,,,nan
1951-03-04,1.16,,,,,,,nan
1951-03-05,1.21,,,,,,,nan
1951-03-06,1.29,,,,,,,nan
1951-03-07,1.3,,,,,,,nan
1951-03-08,1.3,,,,,,,nan
1951-03-09,1.25,,,,,,,nan
1951-03-10,1.22,,,,,,,nan
1951-03-11,1.48,,,,,,,nan
1951-03-12,1.63,,,,,,,nan
1951-03-13,2.07,,,,,,,nan
1951-03-14,2.02,,,,,,,nan
1951-03-15,1.87,,,,,,,nan
1951-03-16,1.85,,,,,,,nan
1951-03-17,2.21,,,,,,,nan
1951-03-18,2.17,,,,,,,nan
1951-03-19,1.7,,,,,,,nan
